seed,rule,score
5,w0.00,0.7688972662414585
5,w0.05,0.7681835204516755
5,w0.10,0.7685924053589973
5,w0.15,0.768467398204813
5,w0.20,0.7697193848389313
5,w0.25,0.7703053693087591
5,w0.30,0.7701646035429933
5,cond0.10_0.20_q0.25,0.7692950361452455
5,cond0.10_0.20_q0.50,0.7685958839199305
5,cond0.10_0.20_q0.75,0.7685924053589973
5,cond0.10_0.25_q0.25,0.7697315383398817
5,cond0.10_0.25_q0.50,0.7690323861145666
5,cond0.10_0.25_q0.75,0.7690128257794177
5,cond0.15_0.25_q0.25,0.7696030526247643
5,cond0.15_0.25_q0.50,0.769044666165215
5,cond0.15_0.25_q0.75,0.7688878186252336
5,cond0.15_0.30_q0.25,0.7696030526247643
5,cond0.15_0.30_q0.50,0.769044666165215
5,cond0.15_0.30_q0.75,0.7688878186252336
17,w0.00,0.750893319699682
17,w0.05,0.75146008014194
17,w0.10,0.7517324683625864
17,w0.15,0.7517303640524197
17,w0.20,0.7514639266761104
17,w0.25,0.7515983822818099
17,w0.30,0.7509008588093699
17,cond0.10_0.20_q0.25,0.7509019573406253
17,cond0.10_0.20_q0.50,0.7511817847634218
17,cond0.10_0.20_q0.75,0.751590281495448
17,cond0.10_0.25_q0.25,0.7510486905192435
17,cond0.10_0.25_q0.50,0.751324969184957
17,cond0.10_0.25_q0.75,0.7520154738132042
17,cond0.15_0.25_q0.25,0.7514650517419286
17,cond0.15_0.25_q0.50,0.7514650517419286
17,cond0.15_0.25_q0.75,0.7518735484739546
17,cond0.15_0.30_q0.25,0.7511808633722831
17,cond0.15_0.30_q0.50,0.7514650517419286
17,cond0.15_0.30_q0.75,0.7518735484739546
