seed,rule,score
5,et_conditional,0.7367871675145343
5,et015_et20.025,0.7353949641671559
5,et015_et20.050,0.7354130217046363
5,et015_et20.075,0.73568982011029
5,et015_et20.100,0.7355859944067147
5,et015_et20.125,0.7353239398993772
5,et015_et20.150,0.7348032454659736
5,et015_et20.200,0.7346744458781324
5,et2_mix0.25_w0.15,0.7353961510826
5,et2_mix0.25_w0.20,0.7354130217046363
5,et2_mix0.25_w0.25,0.7355802649753732
5,et2_mix0.25_w0.30,0.7351940995611524
5,et2_mix0.50_w0.15,0.7353961510826
5,et2_mix0.50_w0.20,0.7355542646424894
5,et2_mix0.50_w0.25,0.7354549671530458
5,et2_mix0.50_w0.30,0.7348032454659736
5,et2_mix0.75_w0.15,0.7353961510826
5,et2_mix0.75_w0.20,0.7354232373888206
5,et2_mix0.75_w0.25,0.7354369096155655
5,et2_mix0.75_w0.30,0.7351951403115358
5,et015_et40.025,0.7355350201895648
5,et015_et40.050,0.7352819944509675
5,et015_et40.075,0.735297779099667
5,et015_et40.100,0.7355962100908989
5,et015_et40.125,0.7352009006640653
5,et015_et40.150,0.7346722182123049
5,et015_et40.200,0.7346812469810451
5,et4_mix0.25_w0.15,0.7353961510826
5,et4_mix0.25_w0.20,0.7352819944509675
5,et4_mix0.25_w0.25,0.7353239398993772
5,et4_mix0.25_w0.30,0.7350608446416563
5,et4_mix0.50_w0.15,0.7349928536374094
5,et4_mix0.50_w0.20,0.7350221676094576
5,et4_mix0.50_w0.25,0.7354527394872185
5,et4_mix0.50_w0.30,0.7346722182123049
5,et4_mix0.75_w0.15,0.7350018824061496
5,et4_mix0.75_w0.20,0.734892327271233
5,et4_mix0.75_w0.25,0.7350596577262122
5,et4_mix0.75_w0.30,0.7346710312968607
5,et015_rf10.025,0.7356672343586778
5,et015_rf10.050,0.7355632934112296
5,et015_rf10.075,0.7354226071215327
5,et015_rf10.100,0.7352786808118031
5,et015_rf10.125,0.7356008987718572
5,et015_rf10.150,0.7358900395854153
5,et015_rf10.200,0.7352442075891581
5,rf1_mix0.25_w0.15,0.7348630132991848
5,rf1_mix0.25_w0.20,0.7355632934112296
5,rf1_mix0.25_w0.25,0.7358208473639588
5,rf1_mix0.25_w0.30,0.735341071930347
5,rf1_mix0.50_w0.15,0.7347448851015769
5,rf1_mix0.50_w0.20,0.7354373233603254
5,rf1_mix0.50_w0.25,0.7355611666875094
5,rf1_mix0.50_w0.30,0.7358900395854153
5,rf1_mix0.75_w0.15,0.7351560244000636
5,rf1_mix0.75_w0.20,0.7355954369202148
5,rf1_mix0.75_w0.25,0.7365523454784784
5,rf1_mix0.75_w0.30,0.7361802660357624
5,et015_rf20.025,0.7354051798513402
5,et015_rf20.050,0.7356852918961582
5,et015_rf20.075,0.7353017955520483
5,et015_rf20.100,0.735870122903914
5,et015_rf20.125,0.7353331148331782
5,et015_rf20.150,0.7352224880266901
5,et015_rf20.200,0.7353738004836666
5,rf2_mix0.25_w0.15,0.7349940405528536
5,rf2_mix0.25_w0.20,0.7356852918961582
5,rf2_mix0.25_w0.25,0.735988251101522
5,rf2_mix0.25_w0.30,0.7354663697526744
5,rf2_mix0.50_w0.15,0.7346009587918473
5,rf2_mix0.50_w0.20,0.7355807206814221
5,rf2_mix0.50_w0.25,0.7356080683965764
5,rf2_mix0.50_w0.30,0.7352224880266901
