true_sound_class,true_azimuth,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
alarm,-80,1,0.0,0.0,0.0,0.0,95.0
alarm,-45,1,0.0,0.0,0.0,0.0,60.0
alarm,-40,1,0.0,0.0,0.0,0.0,55.0
alarm,-35,1,0.0,0.0,0.0,0.0,50.0
alarm,0,1,0.0,0.0,0.0,0.0,15.0
alarm,5,1,0.0,0.0,0.0,0.0,10.0
alarm,10,1,0.0,0.0,0.0,0.0,5.0
alarm,25,1,0.0,0.0,0.0,0.0,10.0
alarm,30,1,0.0,0.0,0.0,0.0,15.0
dog_bark,-35,1,1.0,0.0,0.0,0.0,50.0
dog_bark,-20,1,0.0,0.0,0.0,0.0,35.0
dog_bark,-15,1,0.0,0.0,0.0,0.0,30.0
dog_bark,45,1,0.0,0.0,0.0,0.0,30.0
dog_bark,65,1,1.0,0.0,0.0,0.0,50.0
engine,-80,1,0.0,0.0,0.0,0.0,95.0
engine,-55,1,0.0,0.0,0.0,0.0,70.0
engine,-40,1,0.0,0.0,0.0,0.0,55.0
engine,-25,1,0.0,0.0,0.0,0.0,40.0
engine,-5,1,0.0,0.0,0.0,0.0,20.0
engine,15,1,0.0,0.0,0.0,0.0,0.0
engine,25,1,0.0,0.0,0.0,0.0,10.0
engine,40,1,0.0,0.0,0.0,0.0,25.0
engine,45,1,0.0,0.0,0.0,0.0,30.0
engine,55,1,0.0,0.0,0.0,0.0,40.0
footsteps,-40,1,0.0,0.0,0.0,0.0,55.0
footsteps,-5,1,0.0,0.0,0.0,0.0,20.0
footsteps,10,1,0.0,0.0,0.0,0.0,5.0
footsteps,15,1,0.0,0.0,0.0,0.0,0.0
footsteps,35,1,0.0,0.0,0.0,0.0,20.0
footsteps,45,1,0.0,0.0,0.0,0.0,30.0
knock,-65,1,0.0,0.0,0.0,0.0,80.0
knock,-25,1,1.0,0.0,0.0,0.0,40.0
knock,20,1,0.0,0.0,0.0,0.0,5.0
running_water,-80,1,0.0,0.0,0.0,0.0,95.0
running_water,-40,1,0.0,0.0,0.0,0.0,55.0
running_water,-35,1,0.0,0.0,0.0,0.0,50.0
running_water,-10,1,0.0,0.0,0.0,0.0,25.0
running_water,-5,1,0.0,0.0,0.0,0.0,20.0
speech,-80,1,0.0,0.0,0.0,0.0,95.0
speech,-65,1,0.0,0.0,0.0,0.0,80.0
speech,-20,1,0.0,0.0,0.0,0.0,35.0
speech,-5,1,0.0,0.0,0.0,0.0,20.0
speech,25,1,0.0,0.0,0.0,0.0,10.0
speech,35,1,0.0,0.0,0.0,0.0,20.0
speech,40,1,0.0,0.0,0.0,0.0,25.0
typing,-55,1,0.0,0.0,0.0,0.0,70.0
typing,-15,1,0.0,0.0,0.0,0.0,30.0
typing,5,1,0.0,0.0,0.0,0.0,10.0
typing,45,1,0.0,0.0,0.0,0.0,30.0
typing,55,1,0.0,0.0,0.0,0.0,40.0
typing,65,1,0.0,0.0,0.0,0.0,50.0
typing,80,1,0.0,0.0,0.0,0.0,65.0
alarm,-65,2,0.0,0.0,0.0,0.0,80.0
alarm,-55,2,0.0,0.0,0.0,0.0,70.0
alarm,-25,2,0.0,0.0,0.0,0.0,40.0
alarm,-10,2,0.0,0.0,0.0,0.0,25.0
alarm,55,2,0.0,0.0,0.0,0.0,40.0
dog_bark,-65,2,0.5,0.0,0.0,0.0,80.0
dog_bark,-55,2,0.5,0.0,0.0,0.0,70.0
dog_bark,-10,2,0.0,0.0,0.0,0.0,25.0
dog_bark,0,2,0.0,0.0,0.0,0.0,15.0
dog_bark,30,2,0.0,0.0,0.0,0.0,15.0
dog_bark,55,2,1.0,0.0,0.0,0.0,40.0
engine,-65,2,0.0,0.0,0.0,0.0,80.0
engine,-35,2,0.0,0.0,0.0,0.0,50.0
engine,-30,2,0.0,0.0,0.0,0.0,45.0
engine,5,2,0.0,0.0,0.0,0.0,10.0
engine,20,2,0.0,0.0,0.0,0.0,5.0
engine,30,2,0.0,0.0,0.0,0.0,15.0
footsteps,-55,2,0.0,0.0,0.0,0.0,70.0
footsteps,-35,2,0.0,0.0,0.0,0.0,50.0
footsteps,-25,2,0.0,0.0,0.0,0.0,40.0
footsteps,-20,2,0.0,0.0,0.0,0.0,35.0
footsteps,0,2,0.0,0.0,0.0,0.0,15.0
footsteps,30,2,0.0,0.0,0.0,0.0,15.0
footsteps,40,2,0.0,0.0,0.0,0.0,25.0
footsteps,55,2,0.0,0.0,0.0,0.0,40.0
footsteps,65,2,0.0,0.0,0.0,0.0,50.0
footsteps,80,2,0.0,0.0,0.0,0.0,65.0
knock,-40,2,0.5,0.0,0.0,0.0,55.0
knock,-35,2,1.0,0.0,0.0,0.0,50.0
knock,-30,2,1.0,0.0,0.0,0.0,45.0
knock,45,2,0.5,0.0,0.0,0.0,30.0
knock,65,2,0.5,0.0,0.0,0.0,50.0
knock,80,2,0.0,0.0,0.0,0.0,65.0
running_water,-55,2,0.0,0.0,0.0,0.0,70.0
running_water,0,2,0.0,0.0,0.0,0.0,15.0
running_water,15,2,0.0,0.0,0.0,0.0,0.0
running_water,35,2,0.0,0.0,0.0,0.0,20.0
running_water,40,2,0.0,0.0,0.0,0.0,25.0
running_water,65,2,0.0,0.0,0.0,0.0,50.0
running_water,80,2,0.0,0.0,0.0,0.0,65.0
speech,-45,2,0.0,0.0,0.0,0.0,60.0
speech,-35,2,0.0,0.0,0.0,0.0,50.0
speech,-30,2,0.0,0.0,0.0,0.0,45.0
speech,-25,2,0.0,0.0,0.0,0.0,40.0
speech,-15,2,0.0,0.0,0.0,0.0,30.0
speech,-10,2,0.0,0.0,0.0,0.0,25.0
speech,0,2,0.0,0.0,0.0,0.0,15.0
speech,5,2,0.0,0.0,0.0,0.0,10.0
