true_azimuth,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
-80,13,0.23076923076923078,0.0,0.0,0.0,95.0
-65,7,0.14285714285714285,0.0,0.0,0.0,80.0
-55,8,0.125,0.0,0.0,0.0,70.0
-45,5,0.2,0.0,0.0,0.0,60.0
-40,5,0.4,0.0,0.0,0.0,55.0
-35,3,0.3333333333333333,0.0,0.0,0.0,50.0
-30,12,0.16666666666666666,0.0,0.0,0.0,45.0
-25,7,0.0,0.0,0.0,0.0,40.0
-20,5,0.0,0.0,0.0,0.0,35.0
-15,11,0.0,0.0,0.0,0.0,30.0
-10,12,0.0,0.0,0.0,0.0,25.0
0,6,0.0,0.0,0.0,0.0,15.0
40,12,0.25,0.0,0.0,0.0,25.0
45,5,0.0,0.0,0.0,0.0,30.0
55,6,0.3333333333333333,0.0,0.0,0.0,40.0
30,4,0.0,0.0,0.0,0.0,15.0
65,9,0.1111111111111111,0.0,0.0,0.0,50.0
80,10,0.2,0.0,0.0,0.0,65.0
-5,10,0.1,0.0,0.0,0.1,20.0
10,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.0
15,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
25,5,0.2,0.0,0.2,0.2,10.0
20,10,0.2,0.2,0.2,0.2,5.0
35,10,0.2,0.0,0.0,0.2,20.0
5,11,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,10.0
