true_sound_class,true_azimuth,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
alarm,-80,1,0.0,0.0,0.0,0.0,95.0
alarm,-65,1,0.0,0.0,0.0,0.0,80.0
alarm,-55,1,0.0,0.0,0.0,0.0,70.0
alarm,-25,1,0.0,0.0,0.0,0.0,40.0
alarm,-20,1,0.0,0.0,0.0,0.0,35.0
alarm,-10,1,0.0,0.0,0.0,0.0,25.0
alarm,5,1,0.0,0.0,0.0,0.0,10.0
alarm,10,1,0.0,0.0,0.0,0.0,5.0
alarm,35,1,0.0,0.0,0.0,0.0,20.0
alarm,40,1,0.0,0.0,0.0,0.0,25.0
dog_bark,-65,1,1.0,0.0,0.0,0.0,80.0
dog_bark,-55,1,1.0,0.0,0.0,0.0,70.0
dog_bark,-45,1,1.0,0.0,0.0,0.0,60.0
dog_bark,-35,1,1.0,0.0,0.0,0.0,50.0
dog_bark,65,1,1.0,0.0,0.0,0.0,50.0
engine,-65,1,0.0,0.0,0.0,0.0,80.0
engine,-25,1,0.0,0.0,0.0,0.0,40.0
engine,-5,1,0.0,0.0,0.0,0.0,20.0
engine,0,1,0.0,0.0,0.0,0.0,15.0
engine,5,1,0.0,0.0,0.0,0.0,10.0
engine,25,1,0.0,0.0,0.0,0.0,10.0
engine,30,1,0.0,0.0,0.0,0.0,15.0
engine,35,1,0.0,0.0,0.0,0.0,20.0
engine,45,1,0.0,0.0,0.0,0.0,30.0
engine,55,1,0.0,0.0,0.0,0.0,40.0
engine,80,1,0.0,0.0,0.0,0.0,65.0
footsteps,-35,1,0.0,0.0,0.0,0.0,50.0
footsteps,-25,1,0.0,0.0,0.0,0.0,40.0
footsteps,0,1,0.0,0.0,0.0,0.0,15.0
footsteps,20,1,0.0,0.0,0.0,0.0,5.0
footsteps,35,1,0.0,0.0,0.0,0.0,20.0
footsteps,55,1,0.0,0.0,0.0,0.0,40.0
footsteps,65,1,0.0,0.0,0.0,0.0,50.0
footsteps,80,1,0.0,0.0,0.0,0.0,65.0
knock,-65,1,0.0,0.0,0.0,0.0,80.0
knock,-45,1,0.0,0.0,0.0,0.0,60.0
knock,-40,1,0.0,0.0,0.0,0.0,55.0
knock,-5,1,0.0,0.0,0.0,0.0,20.0
knock,0,1,0.0,0.0,0.0,0.0,15.0
knock,5,1,0.0,0.0,0.0,0.0,10.0
knock,10,1,0.0,0.0,0.0,0.0,5.0
knock,15,1,0.0,0.0,0.0,0.0,0.0
knock,20,1,0.0,0.0,0.0,0.0,5.0
knock,35,1,0.0,0.0,0.0,0.0,20.0
knock,45,1,0.0,0.0,0.0,0.0,30.0
knock,65,1,0.0,0.0,0.0,0.0,50.0
running_water,-80,1,0.0,0.0,0.0,0.0,95.0
running_water,-55,1,0.0,0.0,0.0,0.0,70.0
running_water,-40,1,0.0,0.0,0.0,0.0,55.0
running_water,-15,1,0.0,0.0,0.0,0.0,30.0
